about_the_game,short_description,genres,tags,filtered_genres
anica is a rpg game that made everything by only 1 person who are a cleaner at day and game developer at night due to labor shortage the developer need to do everything on his own from composing music that wont hurt your ears game design programming bad script writing not so good story writing badly drawn art story well its about a rabbit mother named cynthia who wants to locate and save her kidnapped son i assure you is totally not bad parenting fault while trying to save her son she spent some of her sweet times defeating bad guys or monster totally did not waste time on time consuming activity such as mininglumbering crafting items recruiting companion exploring the world of anica grinding for exp and gold game features cute character design cute animal world teleporting system because who wants to spent a lot of time walking rite crafting any game that have crafting is usually good usually mining  lumbering dark humour  lame jokes wardrobe system who doesnt like to looks good duh  achievements system talent system reputation system day and night cycle some events or monster will appear on night or day great music or not  discord facebook twitter instagram  youtube otakulahgaming devianart ,anica is a rpg game that made everything by only 1 person who are a cleaner at day and game developer at night due to labor shortage the developer need to do everything on his own from composing music game design programming bad script writing not so good story writing badly drawn art,"['adventure', 'indie', 'rpg']",,"['adventure', 'indie', 'rpg']"
unearth the wonders of new england in a game that combines history adventure and hidden object challenges finding america new england takes you on an unforgettable journey seek out hidden objects amidst stunning scenery and unlock the stories of americas colonial past features behold the sights of new england all done in a hidden object style play over 30 fun minigames all connected to new england pick up fun facts about the region comes with wallpapers and a full soundtrack maximize your vacation with unlimited mode collectors edition 12 more chapters 6 ceexclusive hidden object scenes enjoy one stunning chapter after another and experience all that new england has in store in this allamerican hidden object game,explore scenic landscapes uncover hidden treasures and immerse yourself in the rich history of this iconic region,['casual'],casual 63 puzzle 37 hidden object 34 2d 31 singleplayer 28 america 22,['casual']
watching humans in their decaying bodies is excruciating  report for duty to defend mankind against the machines the quickshot program will prepare you for battle and the somewhat illtempered training ai dash will make sure you don’t cut corners on the way this training simulation has you take out waves of projectiles in quick succession open fire with pistol shotgun submachine gun laser and minigun or wield a weapon from more civilized days have you ever considered that everything around you might just be a simulation  some target projectiles disappear after one hit some are more heavily armoured some will even shoot back at you and some are not to be harmed at all learn the projectiles’ patterns or master the increasingly harder and faster challenges with nothing but your reflexes and experience the quickshot slow motion effect as you pulverize the waves of targets coming at you apart from a quick trigger finger you should be light on your feet dash will launch barriers at you that you’ll have to dodge and when taking fire your only chance is to dive for cover or get your shield up and who knows maybe there will even be some cake in the end   dash ai of the quickshot program  there will be no cake sorry,the makers of the tower send you to the quickshot boot camp to give you a fighting chance in the war against the machines use pistols shotguns lasers submachine guns and chain guns to take down targets launched at you and avoid obstacles to not get smashed,"['action', 'casual', 'indie', 'sports']",action 21 indie 21 casual 21 sports 21 vr 7,"['action', 'casual', 'indie', 'sports']"
what is pixel fx designer pixel fx designer allows you to create incredible particle effects just by tweaking sliders and punching buttons once you are done you can export the result animation to a spritesheet frame by frame or even a gif you dont like those pixels disable the pixel effect and use it as a normal particle animation generator everything works in realtime so you can see how your animation is looking at all times features import any palette until 256 colors import your custom dithering import your custom particle shapes seamless loop animations copy emitters change canvas size delay parameters timeline for particles draw paths custom pixel render pixelation particle layers for backfront order ignore colors from a palette to be used in pixel render manual rendering draw the particle movement add effects glow outline sepia extra various project with all kind of tipes ready to editexport 1000 particle assets 512x512 png with transparency ,pixel fx designer allows you to create incredible particle effects just by tweaking sliders and punching buttons,"['animation', 'modeling', 'design', 'illustration', 'utilities', 'game', 'development']",design  illustration 34 utilities 32 animation  modeling 32 game development 32 pixel graphics 16 software 16 software training 11 2d 11 programming 11,"['animation', 'modeling', 'design', 'illustration', 'utilities', 'game', 'development']"
texture assembler  is a tool for quick and easy manipulation of rgba image channels for example it can be used to convert textures between different engines it can  pack different images into single image channels  split image channels into separate images it can also process a large batch of images with a single click  pack textures in bulk and also create your own templates supported formats tga bmp tiff jpeg png,texture assembler  is a tool for quick and easy manipulation of rgba image channels for example it can be used to convert textures between different engines,"['photo', 'editing', 'utilities', 'game', 'development']",utilities 22 photo editing 21 game development 21,"['photo', 'editing', 'utilities', 'game', 'development']"
grab an instrument and get ready to jam in virtuoso your own virtual music stage this vr musical sandbox lets anyone play and perform music in new immersive ways explore a range of unique instruments made for vr and share your tracks with the world be the artist of your dreams create music in realtime using the looper and easily share it for all to hear even if youve never touched an instrument before features like tempo sync and preset scales help you stay in time and on pitch madeforvr instruments the six instruments of virtuoso have been created specifically for vr set up your own custom drum kit with the empads and tickle the keys of the threedimensional oorgan you can also add vocals with lush reverb using the virtual microphone from opening act to headliner the interactive tutorial along with intuitive instruments and tools means that everyone from professional producers to casual music lovers can become virtuosos but don’t take our word for it check out what our players have to say a brilliant way to experience and experiment with trying to create music on a range of instruments for those of us who don’t have a clue about notation timing etc really intuitive controls and very engrossing genius this shattered my expectations i had so much fun playing around with the game i almost forgot i was in my room the visuals are amazing the instruments are so immersive i was amazed at what you could do with this game the music you could create is endless from the visuals to the sounds to the ease of use this app is 5 stars all the way this is amazing i dont have any previous experience making music but i was able to get a good loop going within the first 10 minutes so many cool instruments i dont have to worry about what note chord or anything else im hitting its all about reaching out and feeling the music this is truly a gift ive sought for my whole life ,grab an instrument and get ready to jam in virtuoso your own virtual music stage this vr musical sandbox lets anyone play and perform music in new immersive ways explore a range of unique instruments made for vr and share your tracks with the world,"['indie', 'audio', 'production']",indie 201 music 145 vr 139 casual 132 electronic music 132 family friendly 125 instrumental music 122 relaxing 117 audio production 54 atmospheric 48 sandbox 44 singleplayer 41 arcade 37,"['indie', 'audio', 'production']"
rush through floors of a building on the way to get your revenge on the boss up top in this fastpaced vr shooter  choose your class punk  go even faster as you spring and spring through your foes corp  pick up cash and have your ai assistant play the markets to get even more money bouncer  outlast your opponents take more hits and stand firm in your battles merc  a real crackshot make your shots hurt and blow them all away  primary weapons shotty sixshooter plasma blade  secondary items spray paint bat grappler taser,rush through floors of a building on the way to get your revenge on the boss up top in this fastpaced vr shooter choose from four different classes as you swing blast and slash your way through cyberush,"['action', 'adventure', 'early', 'access']",action roguelike 176 bullet hell 169 roguelite 166 shooter 161 actionadventure 154 female protagonist 145 3d 138 comic book 130 vr 124 action 122 cyberpunk 113 cartoony 100 handdrawn 87 dystopian  73 adventure 61 building 58 combat 27 singleplayer 25 early access 22,"['action', 'adventure', 'early', 'access']"
beard of stone is a fantasy turn based 4x that tell the story of a worlds creation all the way to the twilight of the gods not exclusively a turn based strategy game real time bidding mechanics keep everyone actively involved who is up for their next turn is constantly in contention the game is fast paced and quick enough to be played in a single sitting players take the role of gods bending the prophetic destiny of the world to their ends every event and action in the game is public information from the very first turn displayed on the prophecy track players spend their influence currency to gain control of these prophecies in real time anyone can bid and be outbid before a prophecy arrives as the current turn prophecies span a wide range of actions from the creation of the continents of the world the birth of all the various races disasters military campaigns and more as gods players are not playing as any specific race they strive to make the warriors and nobles of the land believers in their faith as the races expand and worship each god the influence invested is redistributed to the gods to be bid on further prophecy turns having the most believers in the most prosperous races will lead to one of the gods dominating the world and winning the game,4x turn based strategy mixed with real time turn stealing bidding mechanics complete single player or competitive online matches with up to 4 players in a single sitting while telling the history of a fantasy world from the creation of its continents to the twilight of its gods,['strategy'],strategy 89 4x 83 turnbased strategy 80 multiplayer 76 fantasy 70 2d 60 hex grid 55 pixel graphics 49 magic 47 war 43 turnbased combat 41 dwarf 37 tabletop 37 resource management 31 board game 28 singleplayer 26,['strategy']
synopsis the protagonist made a strange dream at the beginning and the dream met five years ago the missing loved one and told him something he could not understand when i woke up i found myself in the original room he strangely disappeared five years ago on that day where did she go in order to find her go out to take risks in the adventure i encounter all sorts of strange things and i met a strange person and on the adventure those who used to memory one by one and that place is getting closer and closer to what you want know the truth but is the truth really as good as i thought how to defeat the enemy when encountering an enemy you need to be aligned with the enemy on a line press the d button to raise the gun and press the c button to shoot successful killing of enemies can gain experience points and experience points can be used to strengthen your talents about talent you need to defeat your enemies to gain experience points each skill point requires some skill points for example the first talent only one skill point the second talent requires two skill points and so on about decryption in fact it is not difficult if you really dont know how to decrypt it please press the z button a white circle will appear on the screen this is a hint you just need to press the c button directly about the map you can collect some of the items you need on the map such as lavender batteries synthetic drawings lavender can be refined into purified material and the battery can recharge your flashlight synthetic drawings are used to make reinforced parts but these require you to find about the flashlight press the a button to turn on the flashlight if the map is too dark you can turn it on however it is necessary to consume the battery power and the battery power is displayed in the status bar at the lower right corner try using talent skills to offset battery consumption or find batteries on the map about the button arrow key operation z prompt x menu c confirmation  firing a flashlight d gun  drop s mission easy raiders press the z button a white circle will appear on the map then follow the process go out see the mysterious person below then enter the room next to read the book then come out to get the envelope then come to a meadow enter the hut the password at the cabin is 506 the next cabinet is the password prompt on may 6th when you get the rifle you can press the d button to lift it then press the c button to fire then press the d button to close it after that i followed the process and started the plot down at the sewer some monsters all the way through until the end there will be light and then come to another place you can see the mysterious people through the graveyard after the conversation read the book on the table go to another place read the book below the hall go to the middle to check the password then enter the basement to get the key leave and go to another place you can get the fuse under the table then go back to the above repair switch then turn it on then go up go to a place follow the process and go straight there are some monsters on the road you can bypass know to go 7 the room on the far left of the building triggers the plot enters the room goes to the right to find the videotape and plays it on the tv next to it after that the story will prompt to leave the room some monsters along the road can also be bypassed there is a local gate in the middle it is necessary to trigger the dialogue above then the door will open come outside trigger the final plot the protagonist will be transmitted to somewhere then go to the basement talk to the mysterious person and finish,in this world nothing is real in pursuit of your own goals the adventure is unfolding there will be monster obstructions and intriguing events along the way when you reach your final destination you are,"['adventure', 'indie', 'rpg']",rpg 21 indie 21 adventure 20 horror 11,"['adventure', 'indie', 'rpg']"
dotx is a mouse only game where you will challenge your ability to control the mouse as well as verify your emotional resistance pick up the dots and avoid bumping into the walls as long as your health bar doesnt reach zero 100 dynamic and vibrant levels where you will need the whole of your agility reaction time and the mouse handling skill look out every other 10th level has an increased difficulty enhance and demonstrate your skills by activating one to three challenge modes  hard mode  dots become smaller and speed of the level increases  darkness mode  playing area plunges into darkness  perfect mode  demonstrate an absolutely perfect level walkthrough  steam achievements  steam cloud,dotx is a mouse only game where you will challenge your ability to control the mouse as well as verify your emotional resistance pick up the dots and avoid bumping into the walls as long as your health bar doesnt reach zero,"['casual', 'indie']",indie 31 casual 30 mouse only 12 great soundtrack 11 difficult 9,"['casual', 'indie']"
the struggle of combat is randomly generated sidescrolling shooter after mysterious enemy launches attack on the prison all of the worst criminals have escaped join the action to capture those criminals and find out who was behind this attack                                                    engage intense gun fights against the worst criminals                                                         buy upgrades and face even greater dangers                                                                        discover crazy weapons fight your way through vicious criminals and wildlife buy upgrades and discover powerful weapons go through loop portals and replay game with ever increasing difficulty and crazier weapons with various difficulty modifiers game will offer challenge even to experienced players there is also easy mode with more lives for those who are not into roguelike genre there will be 10 zones with different enemies and bosses 11 playable characters 32 different weapons with tons of variations 71 possible upgrades difficulty modifiers looping with increased difficulty and crazier weapons ,the struggle of combat is randomly generated sidescrolling shooter after mysterious enemy launches attack on the prison all of the worst criminals have escaped join the action to capture those criminals and find out who was behind this attack,"['action', 'indie']",action 73 action roguelike 47 shooter 44 roguelite 41 cartoony 38 funny 32 old school 30 procedural generation 28 combat 26 western 25 ninja 22 indie 21 pirates 20 pve 18 2d 16 singleplayer 14 side scroller 12,"['action', 'indie']"
akui  the insane cultists is a 1st person dark mystery adventure about a friend that disappeared your friend  jona  sent you some documents about a group of cultists after you have viewed every sheet he sent you you embark on a journey into a dark parallel world youll also find references to a state agency called the doas  department of applied science if the task of a level is done a transition to the next chapter will open find the transition and continue your journey deeper into the parallel world without an inventory you as a player are asked to draw your own conclusions and to remember the clues finding some clues or the puzzles themselves can be challenging so take your time game features  riddles mazes searching for clues and creature evading  dark mystery scenario  no inventory  autosave  instant death be careful where you are going  6 levels  44 minutes soundtrack included  short intro before every level  resolution and quality settings for your best gaming experience  mouse and keyboard support you are stuck you can find a first aid video on youtube if you click this link you will be directed to youtubecom you can find more content from the doasakuiuniverse on fandom check it out if you click this link you will be directed to fandomcom ,a fist person dark mystery adventure in a parallel world peppered with monsters and puzzles,"['adventure', 'indie']",adventure 55 survival horror 46 horror 41 dark 38 atmospheric 32 exploration 26 dark fantasy 25 3d 22 indie 20 firstperson 20 violent 20 mystery 18 singleplayer 16,"['adventure', 'indie']"
important  the game will soon be retired from the steam store,3d platformer game from a thirdperson camera view collect and speedup,"['action', 'casual', 'indie']",indie 31 action 30 casual 30 adventure 10 simulation 10 platformer 10 relaxing 10 third person 10 exploration 10 singleplayer 10 family friendly 10 3d platformer 10,"['action', 'casual', 'indie']"
update 5 different kinds of weapons drops added to the monsters slay the enemies to try them all moonlit is a living testament that simplicity is never out of style reminiscing the good old days in the game you play as a mysterious girl that must deal with fearful curse triggered by the full moon while keeping an old school indie format you will be able to play through a variety of scenarios from deserts to haunted ghostlike environment trying to find out and fight the source of the curse,in this retro arcade style game you take your character through the various scenarios with beautifully explored themes while having to deal with the werewolf curse will you be able to handle it,"['action', 'adventure', 'indie']",indie 170 werewolves 161 2d platformer 155 pixel graphics 146 actionadventure 138 retro 130 arcade 124 platformer 115 2d 107 action 105 old school 97 linear 95 minimalist 70 fantasy 56 adventure 47 scifi 41 singleplayer 26,"['action', 'adventure', 'indie']"
a flying experience that isnt on rails you control where you go your wyvern is nimble and maneuverablenot just in the air and on the ground but on walls and ceilings too guide the wyvern by seizing the reins and directing him towards your enemies which your wyvern will trample and bite you are a wyvernriding lich wielding proper magic you get to kill dudes with both your wyvern and your magic four elements that can be combined for up to 20 spells dont want to ride a dragon dismount and fly with hammers or board the ball current modes practice arena  test your magic on some training dummies time trial  master your movement options to break the targets in record time phylactery defense  defend your base against a golem and its army airship takedown  take to the clouds and destroy a giant airship titan takedown  destroy a mountainsized beast before it fully awakens castle army assault musou mode  seize control of spawns and push the offensive against a castle wave defense  destroy an army of incoming enemies ball pit not on a wyvern  roll around in a sticky hamster ball picking up items pinball also not on a wyvern  roll around in a pinball trying to destroy waves of enemies in a pinball machine cast spells by drawing symbols in the air or on floating magic circles the bigger the symbol the bigger the spell the faster you tap the spell circle or draw the symbol the faster the spell moves use spells to let your dragon to breathe the elements summon spears of ice and fire pull swords out of the void that slice the air itself with fire then throw an armorys worth of them at your opponents with a wind spell,fly and crawl through levels on a mythical beast killing dudes with magic and dragon stuff,"['action', 'indie']",action 31 indie 31 vr 16 dragons 11 flight 11 zombies 10 steampunk 10 magic 10,"['action', 'indie']"
demons and undeads roam the land they say imagine yourself being unwillingly caught in the fight between your world and the evil god nemurtviya the evil god has been trying to enter the world once more and this time he intends to stay and rule a desolate world forever forces of good have spent a long time keeping him away but have forgotten the weapons and alliances that stopped him hundreds of years ago in this situation you hear rumors in the inns that demons and undeads roam the land evil cults are popping up everywhere and you need to take your blacksmithing supplies to fallegthorp as usual to get there you cross the angrbotha mountains as usual this is where the adventure begins angrbotha mountains  an adventure rpg game that immerses you in a dark story and cinematic experience it is a short cinematic storydriven adventure rpg game regard it as a short solo rpg session with a game master  levelling up meet wandering creatures putting the story together making choices exploring and finding items are important parts to put the events to rest sneak up on enemies and make kills in one hit if successful so called assasination mode in angrbotha mountains you will take on the role of a hero on a quest to uncover the truth about the past and stop the terrifying from happening the game is short but packs an intense punch with its storyline and cinematic elements ,angrbotha mountains is a short cinematic story driven adventure rpg game regard it as a short solo rpg session with a game master levelling up meet wandering creatures putting the story together making choices exploring and finding items are important parts to put the events to rest,['adventure'],adventure 67 fantasy 41 rpg 38 story rich 35 dark 32 soulslike 26 3d 24 atmospheric 22 linear 20 singleplayer 18 actionadventure 16,['adventure']
you will have to investigate an enigmatic murder in a quiet corner of an ordinary city the killer managed to flee the scene of the crime but there are no unsolved cases just as there are no uncaught villains youre going to collect evidence and interview witnesses to finally get to the truth is the eye society involved in this murder who was the murdered man really and what was he up to what secrets of corruption and lies can you uncover with a total of four suspects you’ll have all this you will have to find out in the new episode of the hidden object secrets this collectors edition includes  engrossing murder mystery investigate a baffling murder in a tranquil part of the city where family ties and dark secrets intertwine can you uncover the truth  challenging puzzles and hidden objects test your observation skills and deductive reasoning every clue every hidden object you find brings you closer to justice  interview key witnesses dive deep into the lives of four suspects each with their own secrets and motives your interrogation skills will decide the course of the investigation  discover the eye societys involvement is the notorious eye society behind this or does the rabbit hole go much deeper its up to you to find out  immersive gameplay experience enjoy beautifully themed artwork and a suspenseful music score that pulls you into the heart of the investigation  solve the unsolvable with no unsolved cases or uncaught villains your prowess will be the key to unlocking the mystery behind the whitefield murder  justice in your hands its not just about solving a murder its about bringing light to the murky events of a fateful night and ensuring justice prevails,step into the shoes of a detective tasked with solving the enigmatic murder of a man whose past is shrouded in mystery can you solve another complicated case,"['adventure', 'casual']",,"['adventure', 'casual']"
are you tired of disappointing games that are made by big companys that offers 1000 ways to play the game but none of them are interesting or fun to play well boy do i have the game for you meet dod a 2d arcade styled side scrolling platformer that does things a bit old school no dlc no cut scenes and no realism  back to basics back in the day there were no side quests just 1 goal that goal is to beat all the levels and beat them fast speed is key each level has gives you certain amount of time points which you can increase by collecting time pickups you must complete the level before you run out of time points bragging rights there are only 16 levels to complete and completing them all is an accomplishment by itself but whats better than that beating the level faster then your friends make your way to the top of the leaderboards ,dod is a 2d arcade styled side scrolling platformer where you must complete each level before the time runs out by collecting time cubes and using momentum to complete them as fast as possible think youve completed the level fast enough compare with your friends to see who is the best,['indie'],action 49 arcade 43 2d platformer 40 2d 37 abstract 34 colorful 28 minimalist 26 stylized 24 score attack 22 indie 21 singleplayer 20 platformer 18 old school 16,['indie']
rakuten is a physics based space shooter where you pilot your own rocketship shoot down enemy spacecraft and unlock upgrades to further increase your capabilities and available weaponry fight it out against your friends or team together in pvp and pve gamemodes gameplay pilot your rocketship left or right to steer forwards to accelerate shoot down asteroids bots and players unlock new enhancements like shields and weapons upgrade and improve existing enhancements to improve your stats features online multiplayer up to 8 players physics based combat system randomly generated asteroid fields enhancements thrusters  increases max acceleration dampeners  increases effectiveness of the inertial dampeners boosters  unlocks ability to temporarily boost max acceleration hull  increases maximum health regenerative hull  unlocks automatic health regeneration hull regeneration  increases health regeneration rate energy capacity  increases max energy capacity energy generation  increases energy generation rate shields  unlocks shields shield capacity  increases maximum shields shield regeneration  increases shields regeneration rate turret  unlocks ability to shoot projectiles independently of rocketship orientation blaster cannon damage  increases damage dealt by blaster cannon bolts missiles  unlocks missile launcher to fire homing missiles emp missiles  unlocks a second missile launcher for emp missiles which deal twice as much damage however only against shields missile damage  increases missile and emp missile damage missile capacity  increases maximum missile capacity missile fabrication  increases rate at which missiles are fabricated and ready for launch emp missile capacity  increases maximum emp missile capacity emp missile fabrication  increases rate at which emp missiles are fabricated and ready for launch point defence cannon  unlocks the point defence cannon for shooting down missiles as well as close range shiptoship combat pdc damage  increases damage of point defence cannon rounds ,rakuten is a physics based space shooter where you pilot your own rocketship shoot down enemy spacecraft and unlock upgrades to further increase your capabilities and available weaponry,"['action', 'adventure', 'indie']",action 363 adventure 356 2d fighter 331 beat em up 327 moba 321 shooter 312 arena shooter 305 bullet hell 297 shoot em up 287 topdown shooter 279 2d 268 topdown 255 flight 243 funny 230 futuristic 215 space 214 tactical 196 combat 178 physics 159 pve 139,"['action', 'adventure', 'indie']"
what happens when you’re locked in a steamy threeway romance with your handsome boss and his gorgeous brother not your average visual novel forget all you know about visual novel games fall in love my billionaire boss takes otome games to a new level with a brand new point system based on an international bestseller play one of wattpad’s most popular romance novels with over 500000 reads as a game high quality cgs unlock exclusive animestyle illustrations in every chapter point based choices explore a pointsbased system where choices reveal unique bonus scenes special features discover a brand new experience with distinctive and heartpounding endings begin your love story now fall in love my billionaire boss is a must play for all interactive novel lovers,fall in love my billionaire boss this is not your average love story game,['simulation'],simulation 22 otome 6,['simulation']
